1	1	109	548	 409.0  504.5  475.0 11120.8	 880.8 3231.2  464.8 7933.4	 951.9 3059.5 5077.9 6208.9	 497.6  944.8  323.7 6858.3	1009.3 3135.8  279.1 7079.8	2822.2 3229.6  242.2 7284.7	1120.4 3011.4  297.4 6954.9	2745.9 7237.6  307.2  723.4	4052.1 6018.4  333.0 1091.4	2261.5 2687.3  709.2 8650.3	 988.6 2745.4 4628.5 7704.0	1037.3 3195.5  763.3 5544.4	1340.8 3376.9 3672.5 6658.9	4058.9 5211.3  607.3 2015.4	1002.3 1519.9 1899.4 7716.5	 810.8 1475.7  603.3 8588.1	1867.8 2779.4  469.3 7981.1	1375.5 3056.6  491.2 7467.7	4442.5 5464.0  440.9 1837.2	4528.2 5348.6  500.0 1542.4	3964.1 4602.5 1415.1 2554.0	4014.4 5117.1  553.2 1585.7	4056.4 5334.7  567.9 2475.9	2255.0 2787.8  837.7 6907.2	1216.8 1792.6 3496.3 6726.9	1229.2 2841.8  681.3 4536.3	2778.7 4221.0  552.2 3242.3	 922.2 1877.2  503.7 7375.9	 987.2 2425.7  577.5 7461.2	 820.1 1682.3  797.1 6892.2	1438.1 2065.1 2487.8 6057.6	 893.8 1734.8 1219.8 5282.9	 822.1 2245.5  550.9 6224.7	 795.6 1770.3  862.0 6897.3	 701.5 1395.3 2727.5 6998.8	 897.3 1918.3  882.4 6059.3
1	1	105	517	 482.2  636.1  615.1 9592.9	1966.0 6379.1  188.1  572.1	1713.7 6166.5  103.5  909.9	4409.5 5459.8  291.6  709.2	4623.2 5186.9  391.3  863.3	4491.5 5120.4  310.7  804.0	1206.6 4803.8  269.3  835.6	1009.2 1540.4  442.4 6299.5	 882.3 1203.6 4540.7 5371.9	 908.1 1410.4 4750.8 6091.1	 892.9 1413.8  728.0 4856.9	4535.2 4984.8  626.7 1362.4	1300.6 1792.0 3948.5 5201.6	3309.2 4722.9  661.5 1606.9	1762.5 5753.3  522.9 1134.2	3925.9 4722.5  475.7 1332.5	3874.4 4847.0  425.4 1309.0	1493.3 2212.6  556.5 6281.8	3670.9 4927.9  423.4 1552.3	2207.6 5437.1  398.1 1173.8	4324.3 4928.4  354.8 1270.4	4238.6 5005.4  488.2 1226.5	4159.3 5660.8  467.2 1215.8	2049.9 5195.2  492.7 1156.4	3621.9 4979.6  359.9 1314.9	1619.7 2520.2  570.5 5214.4	1101.0 2225.0  581.6 6657.3	1305.0 4328.5  583.8 2959.4	1086.6 2346.2  421.7 5535.0	1502.1 4525.0  473.5 2427.8	3113.9 4753.6  365.9 1645.2	3626.9 5317.4  313.3 1448.2	3239.1 4533.9  401.6 1998.1	1748.2 2759.5  405.8 4439.3	1497.9 3540.4  308.1 2751.4	1310.3 2738.7  384.9 4257.9
1	1	101	522	 321.7 -124.5  342.5 7800.9	1109.8  259.5 5263.2 5621.8	1256.2 5588.4  179.6  427.6	4373.7 5268.3  206.4  418.9	1106.7 4785.4  178.9  629.3	1671.8 4855.2  227.0  676.5	 385.4 1349.0  325.1 5194.8	 713.0 1478.1 4130.2 4602.5	3317.9 4145.5  150.8  738.2	 876.1 1478.2  316.2 5976.5	3237.6 4230.2  516.8 1001.1	 755.6 1206.2 4125.8 5002.6	1132.8  896.9 3616.6 4607.3	 779.4  451.0 3387.7 5101.2	 572.8 1229.5  455.2 3596.4	1159.8 4287.5  838.1 2228.2	 460.9 1198.3  452.7 5039.3	 835.7 4418.2  352.5 1747.0	 538.9 1331.8  506.2 5176.6	 843.0 1155.5 3046.1 4707.2	1197.3 3741.4  818.8 1925.6	 717.8 1659.2  494.5 5150.9	1212.5 4230.9  278.5 1599.6	 587.4 1316.1  544.1 4797.7	 665.9 1566.7 2649.6 4168.0	2178.2 3227.5  936.5 2112.0	 816.2 1643.0 3050.1 4556.8	2104.7 2871.3  933.4 2039.3	1523.9 1583.7 2549.8 3756.0	2122.9 2720.8  594.1 1538.7	 735.0 1444.3 2503.0 3814.0	 779.4 1531.7 2222.1 3240.8	1990.3 2843.8  651.9 1542.4	2545.3 3253.4  767.0 1565.1	1064.9 1505.9 1778.2 3440.0	 772.1 1750.0 1909.0 2931.2
1	1	113	530	 983.2  738.3 2887.5 7685.6	3105.3 3713.9 2530.5 2902.6	1137.9 3268.5  911.8 6150.2	 556.8 1193.8 3963.4 5572.1	2744.1 3287.2  180.7 3674.4	 914.8 3085.3 2648.6 3800.1	2288.9 2906.2  424.3 3621.0	1075.7 2801.6 2964.6 4123.6	1058.6 3291.8  312.5 3626.7	3683.6 4918.7  863.1 1796.7	 730.1 1388.6 3114.3 5461.3	1341.0 5010.0 1020.7 1655.8	1100.2 3728.9  788.0 3076.5	3074.2 3553.6 2303.3 3265.8	2889.3 2945.9 1941.3 2627.1	1022.1 2812.8  674.4 4034.0	 641.0 1769.5 2708.7 5172.2	 908.0 3416.9 1998.4 3308.6	1225.3 3914.0 1937.1 3222.2	2048.9 3552.8 2078.9 2964.9	1649.4 4210.0  648.1 1545.9	2990.3 3920.2  497.9 1756.5	3324.3 4636.1  527.2 1736.0	2551.6 4236.0  870.3 1778.2	1284.0 3148.9 1924.4 3083.1	1916.8 2808.1  799.0 3018.5	1389.6 3049.7 1686.1 2881.3	 946.9 2418.3 2487.6 3262.4	1694.6 2751.4 2410.1 3501.5	 902.8 1719.5 1858.9 3899.7	 936.4 2087.9 1911.3 3557.6	 705.9 1607.6 1206.2 3854.2	 735.3 2149.2 1812.0 3344.1	 768.1 1854.5 1408.3 3325.2	 746.2 1856.7 1398.0 3120.7	 871.3 2629.8 1042.2 3602.8
1	1	105	511	 851.3  361.2  297.9 7601.5	3990.7 4504.0  328.6  912.9	 643.8  836.9 4407.9 5098.1	 900.7  863.1  244.3 3861.7	4203.5 4969.2  354.7  403.4	 889.1 1928.0 3652.7 4121.9	 366.5  726.0 4106.5 4806.3	1376.1 1253.7  609.7 3589.7	 912.9 1133.1 3572.6 4501.4	 675.4 1649.2  225.2 4892.4	1073.9 4562.4  281.7 1678.1	1138.2 4040.2  395.7 2442.3	 497.8 2002.3  396.0 5986.4	3132.2 3835.3  437.0 1490.2	 680.4  919.8 1216.0 5846.5	 559.2 1169.4  435.6 6259.4	1118.2 3930.5  650.0 1692.4	 663.0 1340.2  463.1 6132.9	 859.3 1206.2 2764.4 4698.4	2888.0 3138.6  434.4 3361.6	 802.2 1132.5  699.3 5245.6	 675.9 1359.8 2524.3 2889.2	1009.0 3987.0  608.8 2756.1	1215.7 4032.5  391.0 2882.8	1376.0 4241.3  713.9  982.8	2805.8 3583.0  831.2 2247.8	 966.2 2127.9 2382.3 4195.7	1225.0 3862.0  601.4 2054.3	2499.7 3660.7 1409.9 2182.1	1163.0 3451.9  705.9 2627.4	 632.4 1640.0 2125.7 4082.4	 938.7 3442.5  577.2 3170.2	1010.4 3521.6  443.8 2431.8	2396.5 3443.2  412.6 1715.1	2272.6 3003.1  500.8 1478.1	1018.2 1931.5 1700.1 3582.0
1	1	121	531	-819.1 -1528.3 7281.0 7273.4	4784.1 4419.3 -104.1 -1367.9	-342.1  443.4 5386.1 5413.4	4214.8 5233.5   45.6 -490.9	 544.9  569.9 3642.2 3600.8	3161.6 3641.0  135.4  189.3	4566.8 4468.5 -112.6  173.3	 579.1 4668.1 -331.0 -352.1	 219.2  299.4   15.3 6114.9	 564.6 1052.5 4717.6 4194.6	3966.7 4372.6 -590.2 -835.5	4178.3 4612.7  261.3 -166.5	4520.1 4991.6   27.0 -152.9	3833.8 5027.9   16.2  -31.1	 781.8 1162.7  -76.9 4711.3	1076.8 4966.1 -306.9 -116.5	3347.6 3997.7  151.3 -197.8	1184.3 4671.5  -61.3  931.1	3062.2 3795.7  431.2  309.9	 686.9  449.1 3461.3 3840.5	2713.4 2800.2  421.6  -45.1	2930.1 3404.7  232.3  381.4	 918.6 1685.9  295.1 4595.8	2849.3 3485.8  407.5  995.9	 905.8 1495.1  668.0 4130.8	1039.1  536.6 3524.7 3816.3	2204.7 2819.1  906.2 1058.4	 736.2  934.9 3383.2 4020.8	2209.2 2932.5  709.4  750.3	2794.6 3033.6  500.4  822.6	2469.1 2982.4  316.3  612.1	 687.0  815.5  286.7 3199.1	2335.9 2702.6  132.1  880.2	 919.8 1536.2 1958.2 2108.2	2096.7 2418.8  298.9  390.5	1258.5 3805.4  315.5  408.0
1	1	112	525	 -24.2   47.7 4547.5 7224.2	2841.8 6113.4    5.6 -144.1	3814.2 3573.7   63.6 3096.6	 852.1 3692.2 3904.6 3544.2	3638.7 3912.9  738.1  302.8	 706.8  942.0 3765.3 3760.4	4361.7 5000.3  -42.0 -343.5	2780.9 5965.3  -63.5  170.0	1384.6 4553.9  794.7  265.0	1207.4 4494.1 2285.9 2182.5	4019.3 5119.2 -232.0 -508.7	1405.3 4512.0 1040.2 2466.3	3184.2 5123.3  279.5  403.3	3612.6 4270.7  209.8 1975.5	 984.9 3415.2 2139.6 2033.0	1146.3 3937.3 1051.2 2642.7	1264.7 4100.5   93.3 2042.2	3393.1 4814.0  425.7  795.8	1010.1 1452.8 2293.2 3863.2	 870.3 3651.0 1631.5 2274.2	1448.6 4734.5  702.6  801.8	2514.5 4795.4  495.1  606.6	2905.2 3672.9 1772.8 2097.4	 922.0 1412.5 2141.6 3119.7	1150.7 4097.5  376.6 1081.2	 797.6 1611.4 2367.9 3605.0	 715.4 1429.1 2186.2 3491.8	 943.9 3261.5  543.6 1916.6	 539.0 1674.0  367.9 3792.4	 637.7 2729.4 1091.4 2129.6	 777.2 3613.2  694.4 1861.0	1398.6 2833.7  351.5 2074.8	 870.3 1718.5 1285.7 2863.4	1745.6 2647.6 1035.9 2601.5	1574.9 3105.2  954.2 1796.4	1797.2 3544.3  221.0  528.8
1	1	121	595	 176.9 2514.4 7352.6 6950.9	4315.4 4841.5  211.4 -1083.4	 423.8  565.8 6082.8 5298.3	2188.0 3737.2  227.8  390.4	 444.9  819.4   93.6 7423.7	4206.4 4612.5  218.6  528.0	 584.6 2433.1  244.5 8169.8	 378.6  148.2  283.2 7777.9	 757.4 1042.0  149.2 7039.6	4532.4 5013.6  444.6  497.3	 657.1  772.9   16.5 7174.5	 355.3  924.8  266.9 7221.6	 794.7  653.0 3510.4 5345.7	4296.7 4607.3  370.3  749.3	4556.4 2253.6  372.8  463.9	1272.0 5555.3 -112.3  641.8	3776.9 4307.8  218.6  592.5	1065.1 5261.6   -0.9  704.9	1000.6 1591.9   78.3 6184.0	3861.6 4820.6   -2.1  963.0	3987.7 5479.5   36.3  270.6	1669.3 5806.0   19.9   35.1	4079.5 5546.4  124.4  444.2	1597.1 5271.2 -179.0  498.8	 692.7 2203.1   95.9 4623.4	1437.4 4188.9 -166.8 1136.3	 725.0 1437.5  535.3 5275.2	 601.1 1156.2 2221.1 4742.1	 631.3 1277.8  722.2 4236.5	1319.1 4484.2  483.1 1338.7	2875.2 4531.8  546.9 1350.7	 927.3 1546.6  357.7 4344.9	 610.3 1380.5 2546.5 4746.2	1057.7 4174.7  830.6 1999.5	2721.4 4458.0  197.5 1368.3	3250.9 4023.2   21.7 1347.7
1	1	113	371	1007.3 1008.1 6554.6 9321.3	3494.0 5652.1 4161.5 4115.2	1242.8 2706.3  538.7 5913.6	2502.7 5558.8 3215.3 3958.0	 805.8  863.5 3210.4 6248.1	3117.1 4511.3 2394.7 3748.2	3391.6 4984.7 1696.6 1997.9	4955.5 7153.9  770.9 1091.9	2388.0 2899.4 1177.2 4862.4	3354.5 4864.0 1055.4 3691.7	1603.9 4318.6 4116.1 5065.2	1722.8 5241.2 3501.5 4366.2	3574.7 5024.2 1001.6 5043.8	3486.5 5974.0  823.7 1827.3	2250.5 3445.6 2918.2 3817.2	2159.3 4890.7  813.1 3536.4	3871.1 5020.0  654.0 2406.3	2256.2 4761.0  720.8 4038.5	1816.1 5174.2 1940.4 3078.3	2651.1 5589.9  565.2 1660.6	1463.6 4180.9 1371.3 4223.4	1266.3 3959.7 2636.8 4172.1	1393.8 3578.4 1600.7 4101.2	1996.8 4231.8  754.4 3762.6	1952.8 4700.3  738.8 4516.5	2073.3 3164.1  699.8 4517.3	2011.7 5223.9  544.4 2120.6	1509.3 4643.8  738.6 3828.2	 978.0 2766.7 2220.0 4645.9	1320.6 4563.3  781.4 2508.9	1020.6 2876.5  621.8 4626.9	1110.9 2454.5 1095.1 5212.5	2232.6 4193.1 1341.8 3748.5	1654.2 3975.6 1548.6 4293.0	2343.6 4058.7 1206.2 3431.2	1692.5 3696.3 1409.1 4089.9
1	1	89	581	1671.1 2716.3  997.1 6284.0	3540.1 7589.4  649.7  779.7	2106.0 6075.7  314.3 3533.9	1856.1 7100.9  113.2  757.2	3534.3 4223.7 2292.4 4234.2	3285.4 5377.7  936.9 2159.2	1861.1 5340.4  639.9  841.1	2870.6 6000.0  361.4 1650.5	1451.4 4310.1  606.4 2728.8	 875.2 1586.3 1235.3 6065.6	1251.2 3568.9  845.3 2716.0	1023.1 4368.0  692.4 3183.0	 921.8 4446.5  443.4 3796.1	1003.2 4137.8  508.7 3898.9	 995.6 4363.0  792.2 3452.0	1492.1 3334.8  783.0 5198.5	3125.4 3962.2 1917.1 3184.2	2883.0 4527.8 1684.1 2927.0	 956.0 1491.5 3476.6 6135.2	2474.8 3130.2  882.8 3917.9	3440.0 4160.0 1534.2 2676.3	2349.8 4923.8  702.6 1614.0	3340.1 3984.5  825.7 2364.1	3317.6 4090.7  750.5 3664.1	1084.7 1889.6 2156.8 5211.1	2687.9 3287.5  601.0 3280.1	1078.5 3516.7  401.8 3628.9	 811.3 2613.5  520.3 5609.9	1170.3 4173.0 1088.1 3337.4	1079.2 4368.3 1007.0 3171.9	1320.8 2395.2 1026.4 5132.7	1042.9 2421.2 1870.1 4491.6	2308.5 4000.3  800.5 2616.9	1341.2 3261.1  794.8 3399.7	1101.7 2489.4 1136.7 5077.2	1528.7 2973.1 2086.6 3890.6
